HospitalName,Address,District,,
CCC - Siddha CCC  (DD Campus),"THIRUVALLUR,THIRUVALLUR",Tiruvallur,,
CHO - Sir Ivan Stedeford Hospital,"MTH Road,Ambattur,Avadi",Tiruvallur,,
CHC - Sri Lalithambigai Hospital,"Adayalampattu, ,Maduravoyal service road, (Before KG signature city),Poonamallee",Tiruvallur,,
CHC - Sri Ramachandra Medical College Hospital," No.1, Ramachandra Nagar, Porur, Chennai, Tamil Nadu 600116,Poonamallee",Tiruvallur,,
"CHC - Sri Sundharsanam Hospital ,Avadi","No:6, pc2-1,TNHB Road,Avadi,Avadi",Tiruvallur,,
CCC - St Peter's College,"Avadi, Tamil Nadu 600054,Avadi, Tamil Nadu 600054",Tiruvallur,,
CHO - Sugam Hospital,"349, T H Road, Thiruvottiyur,Chennai-19,Tiruvallur",Tiruvallur,,
 CHO - Suman hospital,,Tiruvallur,,
 CCC - Thiruvelangadu,,Tiruvallur,,
CHC - Tiruttani GH,"GOVERNMENT TALUK HOSPITAL, ,ARUMUGASAMY KOIL STREET, , TIRUTTANI.   PIN CODE: 631 209.",Tiruvallur,,
CHC - Uthukottai GH,"GOVERNMENT TALUK HOSPITAL ,Uthukottai.  Pincode -602026,Uthukottai",Tiruvallur,,
 CCC - Valliyur,,Tiruvallur,,
CCC - Vel tech college,"No.42, Avadi-Vel Tech Road, ,Poonamallee - Avadi High Rd, Vel Nagar,Chennai, Tamil Nadu 600062",Tiruvallur,,
 CCC - AKARAM HOSPITAL,"NO.4,R.V.E LAY-OUT MAI ROAD, Palladam Main Rd, opp. to KAMATCHI AMMAN KOVIL, EXTN, Thennampalayam, Tiruppur,Tiruppur South",Tiruppur,,
" CHC - Akaram Hospital, Thennampalayam Extension",,Tiruppur,,
 CHC - Aresta Medical Center,"141 kamaraj road Palladam main Road,Tiruppur North",Tiruppur,,
" CHO - Ashwath Hospital, Vellakovil","339A,KPC Nagar ,Vellakovil,Kangeyam",Tiruppur,,
CHC - Avinashi GH,"Govt Hospital,Avinashi,Avinashi",Tiruppur,,
CHC - Bala Ortho Hospital,"704, pkmr nagar , opposite to goverment hospital , near bharat petrol punk , tirupur 641604,Tiruppur South",Tiruppur,,
CCC - CHIKKANNA COLL OF ARTS AND SCIENCE,"COLLEGE ROAD,CHANDRAKAR,Tiruppur South",Tiruppur,,
"CHC - CNS HOSPITALS, ANAIPUDUR, PALANGARAI, AVINASHI, TIRUPUR","AVINASHI MAIN ROAD,PALANGARAI,Avinashi",Tiruppur,,
" CHC - Chandar Nursing Home, Gandhi Nagar, Tirupur",,Tiruppur,,
 CCC - Cheyur,,Tiruppur,,
CHC - Dharapuram GH,"Govt Hospital,Katcheri street,Dharapuram",Tiruppur,,
 CCC - Erisinampatti,,Tiruppur,,
"CCC - GOVT ARTS COLLEGE, UDUMALPET","Eleyamathur Road,Bodipatti,Udumalpet",Tiruppur,,
