"District" "HospitalName"
"Tirunelveli" " CHC - Gem Head and Neck Hospital, Tirunelveli"
"Tirunelveli" "CHO - Gold Child & Chest Hospital,Vannarpettai"
"Tirunelveli" " CCC - Government Engineering College, Tirunelveli	"
"Tirunelveli" "CCC - Govt. Siddha Medical College Hospital"
"Tirunelveli" "CCC - Kallur"
"Tirunelveli" "CCC - Kokkirakulam"
"Tirunelveli" "CHO - Koodankulam GH"
"Tirunelveli" "CHO - Krishna Maternity Home &Peadiatric Centre, Palayamkottai"
"Tirunelveli" "CCC - MV Puram"
"Tirunelveli" "CCC - Melapalayam"
"Tirunelveli" "CCC - Mukkudal"
"Tirunelveli" "CCC - Munanjipatti"
"Tirunelveli" " CHC - Muthamiz Hospital, Palyyamkottai"
"Tirunelveli" "CHO - Muthu Hospital,Kulavanigarpuram"
"Tirunelveli" " CHC - NEW CRESCENT HOSPITAL"
"Tirunelveli" "CHC - NMS Hospital, Sankarankovil"
"Tirunelveli" " CHC - New Crescent Hospital Melapalayam"
"Tirunelveli" "CHC - PEACE HEALTH CENTRE"
"Tirunelveli" "CCC - Palayamkottai"
"Tirunelveli" "CCC - Palayapettai"
"Tirunelveli" "CCC - Panagudi"
"Tirunelveli" "CCC - Pathamadai"
"Tirunelveli" "CCC - Pattapathu"
"Tirunelveli" "CCC - Perumalpuram"
"Tirunelveli" "CCC - Pettai"
"Tirunelveli" "CHC - Ponra Multispeciality Hospital"
"Tirunelveli" " CHC - RSP Nursing Home and RSP Cardio thoracic R&C"
"Tirunelveli" "CCC - Reddiarpatti"
"Tirunelveli" "CHC - Rosemary Mission Hospitals & Research Centre, Vannarpettai"
"Tirunelveli" "CHC - Royal Hospital, NGO Colony"
"Tirunelveli" "CCC - Samathanapuram"
"Tirunelveli" "CCC - Scad Engineering College"
"Tirunelveli" " CHC - Selvan Hospital, Malapalayam"
"Tirunelveli" "CHC - Shifa Hospital"
"Tirunelveli" " CHC - Shree Vijaya Hospital, Malapalayam"
"Tirunelveli" "CCC - Sivanantha Hospital, Pathamadai"
"Tirunelveli" " CHC - Sri Sakthi Hospital, Tirunelveli"
"Tirunelveli" " CHC - Sri Sakthi Hospitals, Tirunelveli"
"Tirunelveli" " CHC - Sri Vishnu Priya Hospital, Palayamkottai"
"Tirunelveli" "CHC - Sudharson Platinum Hospitals, Vannarpettai"
"Tirunelveli" "CCC - Thirugurungudi"
"Tirunelveli" "CCC - Thisaianvilai"
"Tirunelveli" "CHO - Tirunelveli Medical College Hospital"
"Tirunelveli" "CCC - Ukkirankotttai"
"Tirunelveli" "CHC - VJ Hospital"
"Tirunelveli" "CCC - Vairavikulam"
"Thoothukudi" "CHC - Aarthi Hospital, Kovilpatti"
"Thoothukudi" "CHC - Arputham Hospital"
"Thoothukudi" "CHO - City Hospital, Tuticorin"
"Thoothukudi" "CHC - DHQH,KOVILPATTI"
"Thoothukudi" "CCC - Eral"
"Thoothukudi" "CHC - GH, ETTAYAPURAM"
"Thoothukudi" "CHC - GH, KALANKUDIYIRUPPU"
"Thoothukudi" "CHC - GH, SRIVAIKUNDAM"
"Thoothukudi" "CHC - GH, VILATHIKULAM"
"Thoothukudi" "CHC - GH,KAYALPATTINAM"
"Thoothukudi" "CHC - GH,OTTAPIDARAM"
"Thoothukudi" "CHC - GH,TIRUCHENDUR"
"Thoothukudi" "CHC - GOVT HOSPITAL SATHANKULAM"
"Thoothukudi" "CCC - GOVT POLYTECHNIC COLLEGE, THOOTHUKUDI"
"Thoothukudi" "CCC - GPHC Alwarthirunagari"
"Thoothukudi" "CHC - Jayashri Hospital,Tuticorin"
"Thoothukudi" "CHC - K.M.T Hospital, Kayalpatnam"
"Thoothukudi" " CCC - Kalugumalai"
"Thoothukudi" "CHC - Kamala Speciality Hospitals Pvt Limited, Kovilpatti"
"Thoothukudi" " CCC - Karungulam UPHC"
"Thoothukudi" " CCC - Kayamoli"
"Thoothukudi" " CCC - Keelairal"
"Thoothukudi" "CCC - LAPC , KOVILPATTI"
"Thoothukudi" "CHC - Latha Hospital, Kovilpatti"
"Thoothukudi" "CHO - Laxmi Poly Clinic, Polepettai West, Tuticorin"
"Thoothukudi" "CCC - Meignanapuram"
"Thoothukudi" " CCC - Mudalur Sathangulam Block Hospital"
"Thoothukudi" "CCC - National Engineering college"
"Thoothukudi" "CHC - Public Welfare Hospital"
"Thoothukudi" "CCC - Pudukottai"
"Thoothukudi" "CHO - RMS Hospital, Kovilpatti"
"Thoothukudi" " CHC - Royal Hospital"
"Thoothukudi" "CCC - SIVANTHI ADITANAR COLLEGE, TIRUCHENDUR"
"Thoothukudi" "CHC - Sacred Heart Hospital"
"Thoothukudi" "CHC - Sasi Hospital"
"Thoothukudi" " CHC - Siva Hospital, Kovilpatti"
"Thoothukudi" "CHC - Sree Chendur Multispeciality Hospital, Kovilpatti"
"Thoothukudi" "CHC - Sri Hospitals, Kovilpatti"
"Thoothukudi" " CHC - Sri Murali Hospital Kovilpatti"
"Thoothukudi" " CHC - St.Lukes Hospital, Nazareth"
"Thoothukudi" " CHC - Suganthi Nursing Home"
"Thoothukudi" "CHO - THOOTHUKUDI MEDICAL COLEGE HOSPITAL"
"Thiruvarur" "CHO - Aswa Hospital, Valangaiman"
"Thiruvarur" "CCC - CUTN"
"Thiruvarur" "CHO - GH DHQH Mannarkudi"
"Thiruvarur" "CHC - GH Tiruthuraipoondi"
"Thiruvarur" "CCC - Govt Polytechnic College, Tholuvoor."
"Thiruvarur" "CHO - Govt Thiruvarur Medical College"
"Thiruvarur" " CCC - Jambovanadai Evacuation Centre, Muthupet	"
"Thiruvarur" "CHC - Kudavasal GH"
"Thiruvarur" " CCC - Muthupettai PHC"
"Thiruvarur" "CHC - Nannilam"
"Thiruvarur" "CHC - Navajeevan MedicalFoundation PVT LTD,Tiruvarur TN."
"Thiruvarur" "CHC - Needamangalam"
"Thiruvarur" "CHC - PKT Nursing Home,Thiruthuraipoondi"
"Thiruvarur" "CCC - POONTHOTTAM PHC"
"Thiruvarur" " CCC - Perumpanaiyur PHC"
"Thiruvarur" "CHC - Primary Health Centre, Alangudi, Valangaimaan Block"
"Thiruvarur" "CHC - Raaj Hospital, Tiruvarur TN."
"Thiruvarur" " CCC - Thiru .Vi. Ka Govt Arts college,Thiruvarur"
"Thiruvarur" "CHC - Thiruvarur Medical Centre, Thiruvarur TN."
"Thiruvarur" " CCC - Tiruvizlimilai PHC"
"Thirupathur" "CHC - AMBUR GH"
"Thirupathur" " CCC - AMBUR TRADE CENTRE"
"Thirupathur" "CCC - Agraharam Allopathy CCC"
"Thirupathur" "CCC - Agraharam Siddha,"
"Thirupathur" " CCC - Alangayam CCC"
"Thirupathur" "CCC - Alangayam Community Health Centre"
"Thirupathur" "CCC - Andiyappanur Community Health Centre"
"Thirupathur" " CCC - DB Centre Siddha"
"Thirupathur" " CHO - Dr.Thangammal nurs and paramed col hos,"
"Thirupathur" " CCC - ISLAMIAH WOMENS COLLEGE"
"Thirupathur" "CCC - Islamia Polytechnic College"
"Thirupathur" " CCC - JANANI MAHAL PUTHUKOVIL"
"Thirupathur" "CCC - Jolarpet Upgraded Primary Health Centre"
"Thirupathur" "CCC - KAR Polytechinic College, Ambur"
"Thirupathur" "CCC - Kunichi Community Health Centre"
"Thirupathur" "CCC - MBC HOSTEL"
"Thirupathur" " CCC - Madhanur Community Health Centre"
"Thirupathur" "CHC - NATRAMPALLI GH"
"Thirupathur" "CCC - Nariyambut Community Health Centre"
"Thirupathur" " CCC - Patchur Community Hall"
"Thirupathur" "CCC - Patchur Community Health Centre"
"Thirupathur" "CCC - Pudupettai Community Health Centre"
"Thirupathur" "CCC - Pudurnadu Upgraded Primary Health Centre"
"Thirupathur" " CCC - SFS School siddha"
"Thirupathur" "CHO - TIRUPATTUR GH"
"Thirupathur" "CCC - Thimanamathur school"
"Thirupathur" "CCC - Thiruvalluvar Arts college Kariyampatty"
"Thirupathur" "CCC - Tirupathur Dominic savior school"
"Thirupathur" "CCC - Tirupathur boys and girls school"
"Thirupathur" "CHC - VANIYAMBADI GH"
"Thirupathur" "CCC - Vijaya Shanthi jain school"
"Thiruchirappalli" "CCC - Valanadu"
"Thiruchirappalli" "CCC - Veeramachanpatti"
"Thiruchirappalli" "CHC - Velan Speciality Hospitals, Highways Colony"
"Thiruchirappalli" "CHO - Wellcare hospital, Trichy "
"Thiruchirappalli" "CCC - Yathiri Nivas , Srirangam"
"Thiruchirappalli" "CCC - ZONAL RAILWAY TRAINING INSTITUTE, TRICHY"
"Thiruchirappalli" "CHC - AJ Hospital, Manapparai"
"Thiruchirappalli" "CHO - ANNAI HOSPITAL, THURAIYUR"
"Thiruchirappalli" "CHC - ARR Hospital,MuthammaColony"
"Thiruchirappalli" "CHC - ATLAS HOSPITALS"
"Thiruchirappalli" "CCC - Agricultural University, Kumulur"
"Thiruchirappalli" "CHC - Aiyshwariya Hospital, Woraiyur"
"Thiruchirappalli" "CHC - Apollo Hospital, Trichy"
"Thiruchirappalli" "CHC - Assured Best Care Hospital(P) Ltd (ABC Hospital) Annamalai Nagar"
"Thiruchirappalli" "CHC - Athma Hospitals, Thillai Nagar"
"Thiruchirappalli" "CHC - B.G.Hospital,Veeapandianpatnam"
"Thiruchirappalli" "CCC - Bishop Heber College, Trichy"
"Thiruchirappalli" "CHO - CETHAR HOSPITALS LIVER AND KIDNEY TRANSPLANTATION CENTRE"
"Thiruchirappalli" "CHO - CSI Mission Hospital Trichy"
"Thiruchirappalli" "CHC - City Medical Center, Thennur"
"Thiruchirappalli" "CHO - DECCA HOSPITAL"
"Thiruchirappalli" "CHO - Deepan Hospital, Trichy."
"Thiruchirappalli" "CHC - Dr.E.Palvanann"
"Thiruchirappalli" "CHC - Dr.G.Viswanathan Hospital, Mambalasalai"
"Thiruchirappalli" "CHO - Dr.Sri Ramya Multispeciality hospital, Trichy"
"Thiruchirappalli" "CHC - Ebenezer Hospital, Thoothukudi"
"Thiruchirappalli" "CHO - Fathima Maternity Home, Trichy"
"Thiruchirappalli" "CHC - G V N Hospital Pvt Ltd, Devathanam"
"Thiruchirappalli" "CHO - GKM Hospital Manaparai Trichy"
"Thiruchirappalli" "CHC - Gitanjali Medical Center (P) Ltd, Puthur"
"Thiruchirappalli" "CHO - Gitanjali Medical Centre, Trichy."
"Thiruchirappalli" "CCC - Govt Engg College Sethurapatty"
"Thiruchirappalli" "CHC - Govt. Hospital, Lalgudi"
"Thiruchirappalli" "CHC - Govt. Hospital, Manachanallur"
"Thiruchirappalli" "CHC - Govt. Hospital, Musiri"
"Thiruchirappalli" "CHC - Govt. Hospital, Omandhr"
"Thiruchirappalli" "CHC - Govt. Hospital, Thiruverumbur @ Thuvakudi"
"Thiruchirappalli" "CHC - Govt. Hospital, Thottiam"
"Thiruchirappalli" "CHC - Govt. Hospital, Thuraiyur"
"Thiruchirappalli" "CHC - Govt. Hospital, Thuvarankurichi"
